,price,minimum_nights,label
1234,48,1,1
1235,60,3,1
1236,17,5,1
1237,33,14,1
1238,80,1,1
1239,32,3,1
1240,65,3,1
1241,43,2,1
1242,48,4,1
1243,36,10,1
1244,24,4,1
1245,40,3,1
1246,49,2,1
1247,20,3,1
1248,30,3,1
1249,45,4,1
1250,25,2,1
1251,39,2,1
1252,43,90,1
1253,60,7,1
1254,41,1,1
1255,20,3,1
1256,97,7,1
1257,39,2,1
1258,25,2,1
1259,42,10,1
1260,36,5,1
1261,30,3,1
1262,59,3,1
1263,30,1,1
1264,89,2,1
1265,36,6,1
1266,35,3,1
1267,80,3,1
1268,60,2,1
1269,35,10,1
1270,580,3,1
1271,45,28,1
1272,45,2,1
1273,69,2,1
1274,56,3,1
1275,55,2,1
1276,40,1,1
1277,27,150,1
1278,15,15,1
1279,199,3,1
1280,42,130,1
1281,59,3,1
1282,80,4,1
1283,82,5,1
1284,59,2,1
1285,120,8,1
1286,65,180,1
1287,47,3,1
1288,80,7,1
1289,84,5,1
1290,65,3,1
1291,52,4,1
1292,45,2,1
1293,59,2,1
1294,99,2,1
1295,45,2,1
1296,32,60,1
1297,55,1,1
1298,17,1,1
1299,33,1,1
1300,25,1,1
1301,25,1,1
1302,84,10,1
1303,99,4,1
1304,33,2,1
1305,54,4,1
1306,65,3,1
1307,58,1,1
1308,35,2,1
1309,124,2,1
1310,28,2,1
1311,79,3,1
1312,70,3,1
1313,33,3,1
1314,145,2,1
1315,30,1,1
1316,30,10,1
1317,81,2,1
1318,102,28,1
1319,68,90,1
1320,40,1,1
1321,60,3,1
1322,95,2,1
1323,34,3,1
1324,25,20,1
1325,30,3,1
1326,95,1,1
1327,34,2,1
1328,49,1,1
1329,70,14,1
1330,54,1,1
1331,69,4,1
1332,44,3,1
1333,45,2,1
1334,80,1,1
1335,20,3,1
1336,79,3,1
1337,25,4,1
1338,22,26,1
1339,50,7,1
1340,120,61,1
1341,44,4,1
1342,58,3,1
1343,65,1,1
1344,110,3,1
1345,58,2,1
1346,50,2,1
1347,54,2,1
1348,40,5,1
1349,50,3,1
1350,49,2,1
1351,296,1,1
1352,35,45,1
1353,80,30,1
1354,35,2,1
1355,80,4,1
1356,150,1,1
1357,49,3,1
1358,89,2,1
1359,58,2,1
1360,40,5,1
1361,90,1,1
1362,69,4,1
1363,100,2,1
1364,60,14,1
1365,250,3,1
1366,28,28,1
1367,30,4,1
1368,55,2,1
1369,193,1,1
1370,129,3,1
1371,99,2,1
1372,90,3,1
1373,57,30,1
1374,35,1,1
1375,52,5,1
1376,69,3,1
1377,95,3,1
1378,49,3,1
1379,37,1,1
1380,45,2,1
1381,61,1,1
1382,149,27,1
1383,60,1,1
1384,49,4,1
1385,44,72,1
1386,19,2,1
1387,91,3,1
1388,210,2,1
1389,30,4,1
1390,50,5,1
1391,40,60,1
1392,39,2,1
1393,90,2,1
1394,35,1,1
1395,35,3,1
1396,60,1,1
1397,61,2,1
1398,105,6,1
1399,60,2,1
1400,65,2,1
1401,30,1,1
1402,69,4,1
1403,62,3,1
1404,75,1,1
1405,55,2,1
1406,20,2,1
1407,30,1,1
1408,25,1,1
1409,38,3,1
1410,45,4,1
1411,55,7,1
1412,30,2,1
1413,65,3,1
1414,80,92,1
1415,60,14,1
1416,39,10,1
1417,110,2,1
1418,39,1,1
1419,75,3,1
1420,38,1,1
1421,29,1,1
1422,55,4,1
1423,71,5,1
1424,93,60,1
1425,99,2,1
1426,98,2,1
1427,33,1,1
1428,22,5,1
1429,99,5,1
1430,25,2,1
1431,50,90,1
1432,99,2,1
1433,120,6,1
1434,300,2,1
1435,45,5,1
1436,125,7,1
1437,39,3,1
1438,65,21,1
1439,235,2,1
1440,43,360,1
1441,60,7,1
1442,40,45,1
1443,50,1,1
1444,40,7,1
1445,54,1,1
1446,65,7,1
1447,180,4,1
1448,180,4,1
1449,42,7,1
1450,59,4,1
1451,54,4,1
1452,90,3,1
1453,69,5,1
1454,169,7,1
1455,100,3,1
1456,95,2,1
1457,52,1,1
1458,60,90,1
1459,59,100,1
1460,199,1,1
1461,75,3,1
1462,35,5,1
1463,59,4,1
1464,45,2,1
1465,49,1,1
1466,35,3,1
1467,23,1,1
1468,34,5,1
1469,70,12,1
1470,30,1,1
1471,47,4,1
1472,60,6,1
1473,30,10,1
1474,100,5,1
1475,45,2,1
1476,95,1,1
1477,65,2,1
1478,150,5,1
1479,300,30,1
1480,40,2,1
1481,80,3,1
1482,30,1,1
1483,90,2,1
1484,60,3,1
1485,107,3,1
1486,50,1,1
1487,55,2,1
1488,69,3,1
1489,65,2,1
1490,50,2,1
1491,40,1,1
1492,30,4,1
1493,28,3,1
1494,60,3,1
1495,51,100,1
1496,45,2,1
1497,49,3,1
1498,30,12,1
1499,49,3,1
1500,75,3,1
1501,89,1,1
1502,35,2,1
1503,85,3,1
1504,32,3,1
1505,77,3,1
1506,35,1,1
1507,60,3,1
1508,130,2,1
1509,100,1,1
1510,35,2,1
1511,60,3,1
1512,67,5,1
1513,50,1,1
1514,42,2,1
1515,20,4,1
1516,100,7,1
1517,25,3,1
1518,90,1,1
1519,55,3,1
1520,90,3,1
1521,55,21,1
1522,50,3,1
1523,150,4,1
1524,94,5,1
1525,229,3,1
1526,40,5,1
1527,65,90,1
1528,30,7,1
1529,70,3,1
1530,70,5,1
1531,70,10,1
1532,75,1,1
1533,91,4,1
1534,40,3,1
1535,35,20,1
1536,45,1,1
1537,22,2,1
1538,31,1,1
1539,45,1,1
1540,50,14,1
1541,30,1,1
1542,59,3,1
1543,50,4,1
1544,60,2,1
1545,78,2,1
1546,68,30,1
1547,50,6,1
1548,55,6,1
1549,25,3,1
1550,60,2,1
1551,45,3,1
1552,48,2,1
1553,70,3,1
1554,58,2,1
1555,390,1,1
1556,49,6,1
1557,64,4,1
1558,63,2,1
1559,50,2,1
1560,59,2,1
1561,79,2,1
1562,28,5,1
1563,43,2,1
1564,60,2,1
1565,65,3,1
1566,109,10,1
1567,75,2,1
1568,50,1,1
1569,120,2,1
1570,30,3,1
1571,70,4,1
1572,55,3,1
1573,15,6,1
1574,36,7,1
1575,70,3,1
1576,39,3,1
1577,46,5,1
1578,115,28,1
1579,80,7,1
1580,29,8,1
1581,108,6,1
1582,69,60,1
1583,50,5,1
1584,30,1,1
1585,99,6,1
1586,40,4,1
1587,55,2,1
1588,25,3,1
1589,98,3,1
1590,210,1,1
1591,89,5,1
1592,55,2,1
1593,30,2,1
1594,90,20,1
1595,59,60,1
1596,55,5,1
1597,169,2,1
1598,85,3,1
1599,35,3,1
1600,45,4,1
1601,81,5,1
1602,63,7,1
1603,42,90,1
1604,45,85,1
1605,55,4,1
1606,30,3,1
1607,59,20,1
1608,65,3,1
1609,97,4,1
1610,30,5,1
1611,50,6,1
1612,109,58,1
1613,79,2,1
1614,25,2,1
1615,23,3,1
1616,30,5,1
1617,70,3,1
1618,130,28,1
1619,60,2,1
1620,55,1,1
1621,70,1,1
1622,20,5,1
1623,76,4,1
1624,147,3,1
1625,40,60,1
1626,30,4,1
1627,25,14,1
1628,50,5,1
1629,50,4,1
1630,70,3,1
1631,150,6,1
1632,69,2,1
1633,35,22,1
1634,89,2,1
1635,50,1,1
1636,65,1,1
1637,80,14,1
1638,75,5,1
1639,30,7,1
1640,49,2,1
1641,59,5,1
1642,84,3,1
1643,35,2,1
1644,65,12,1
1645,55,1,1
1646,100,3,1
1647,25,30,1
1648,35,180,1
1649,18,7,1
1650,80,10,1
1651,8,15,1
1652,195,3,1
1653,65,2,1
1654,36,3,1
1655,35,1,1
1656,50,60,1
1657,110,3,1
